Densidad	Genotipados	des	Correlación	Enfoque
0	0	0.058	0.506	Bayesiano
1.000	148	0.06	0.479	Bayesiano
1.000	298	0.024	0.454	Bayesiano
1.000	451	0.003	0.49	Bayesiano
10.000	148	0.067	0.483	Bayesiano
10.000	298	0.024	0.539	Bayesiano
10.000	451	0.003	0.584	Bayesiano
100.000	148	0.067	0.483	Bayesiano
100.000	298	0.023	0.55	Bayesiano
100.000	451	0.002	0.579	Bayesiano
0	0	0.051	0.515	Penalizado
1.000	148	0.065	0.477	Penalizado
1.000	298	0.026	0.454	Penalizado
1.000	451	0	0.495	Penalizado
10.000	148	0.069	0.479	Penalizado
10.000	298	0.025	0.538	Penalizado
10.000	451	0	0.585	Penalizado
100.000	148	0.07	0.482	Penalizado
100.000	298	0.025	0.552	Penalizado
100.000	451	0	0.58	Penalizado
