value...1	value...2	value...3	value...4	value...5	value...6	value...7	value...8	value...9	value...10
0.4006531	0.3767706	0.4071233	0.4199405	0.4449481	0.4061498	0.3730584	0.430652	0.3617233	0.3899869
0.4536462	0.4297149	0.4566156	0.5052371	0.6354567	0.4955467	0.4366021	0.4751404	0.4674206	0.4221954
0.5320759	0.4253521	0.5435964	0.5893643	0.6015135	0.5372808	0.4366916	0.4711913	0.4402796	0.4916787
0.5772012	0.4709624	0.4891987	0.5704609	0.6088086	0.5822211	0.4014691	0.5363961	0.5099018	0.4803657
0.5656219	0.4025455	0.5611788	0.6273393	0.5394066	0.5909759	0.3876093	0.6327224	0.4739526	0.5099335
0.5903595	0.4760564	0.5370781	0.5619417	0.4892	0.665746	0.401617	0.5577199	0.5070103	0.4326148
0.5310411	0.4533375	0.5588926	0.5720988	0.5231672	0.6232403	0.4459851	0.5390464	0.5176675	0.4814842
0.5542633	0.4382051	0.5803933	0.5408087	0.5137441	0.607976	0.3981638	0.5080829	0.5162011	0.4113996
0.5580157	0.471193	0.5580129	0.5364686	0.4900336	0.5789855	0.4093648	0.5094416	0.5132499	0.407808
0.5513036	0.4359691	0.5280866	0.5110477	0.5270801	0.6124702	0.4004641	0.467394	0.5152998	0.4163634
0.5491407	0.5060184	0.5335581	0.5922777	0.5012137	0.5677393	0.3958726	0.4364549	0.5658712	0.4104878
0.5440165	0.4515771	0.4726906	0.5768375	0.4786037	0.5190972	0.3871183	0.4821261	0.6270067	0.3897968
0.4600846	0.5062558	0.5014492	0.508592	0.4651279	0.5195856	0.376961	0.4171728	0.5778283	0.3962019
0.5230903	0.4989726	0.508963	0.462739	0.4850665	0.5350836	0.4071117	0.3609119	0.5947672	0.3619205
0.5216248	0.5164369	0.5101347	0.4809019	0.4582466	0.5109267	0.3810268	0.3834096	0.6213553	0.3861757
0.4553217	0.5123473	0.5156664	0.4989426	0.485065	0.4771099	0.4693015	0.4045391	0.677222	0.3659369
0.5279239	0.480675	0.5059767	0.5182495	0.4450076	0.5158675	0.4766271	0.5097841	0.6833763	0.3970118
0.5012865	0.5106833	0.4595086	0.4238378	0.4592697	0.5283827	0.5430043	0.4682068	0.69069	0.4105945
0.498203	0.5323813	0.4367598	0.4147179	0.4241108	0.53505	0.4996814	0.4324194	0.5638933	0.4765139
0.4596586	0.5196912	0.4448736	0.4453442	0.4994502	0.5260905	0.5264923	0.4960341	0.5443564	0.4249696
0.4982283	0.4909816	0.4996658	0.4484737	0.502117	0.608319	0.569123	0.4437308	0.4945099	0.406904
0.5006038	0.4435133	0.5336511	0.3934818	0.5315267	0.5366514	0.5277616	0.4289898	0.601839	0.4082161
