value...1	value...2	value...3	value...4	value...5	value...6	value...7	value...8	value...9	value...10
0.3626255	0.3343476	0.316788	0.310497	0.3811364	0.3020597	0.3413548	0.3666729	0.3478234	0.3847657
0.4567292	0.4385522	0.381811	0.3950824	0.5024467	0.3994558	0.3965689	0.4631951	0.3721536	0.413969
0.5008076	0.416224	0.4244457	0.4519449	0.4896079	0.4649575	0.4832338	0.5444113	0.3929638	0.4595561
0.5436516	0.443345	0.4461935	0.470263	0.5629757	0.4853817	0.5159934	0.5969306	0.4486371	0.5303881
0.6154981	0.5231221	0.475192	0.4754765	0.5665647	0.4779086	0.5397786	0.5730834	0.4917738	0.5419915
0.6248637	0.5303382	0.5076979	0.5674641	0.5487954	0.4570952	0.5744402	0.6117011	0.4853502	0.5898051
0.6331842	0.5729627	0.4924444	0.6070033	0.5958583	0.4831699	0.6143934	0.6141853	0.5380358	0.6087356
0.5494801	0.5146273	0.4979161	0.5917687	0.5552658	0.5009858	0.5888464	0.6598799	0.5472022	0.6170201
0.5344068	0.5231514	0.5430525	0.6174313	0.6277946	0.4963817	0.5664286	0.5798775	0.633648	0.6130505
0.4775544	0.5307296	0.5316407	0.6386806	0.6330974	0.5173627	0.58605	0.5940657	0.641497	0.6435034
0.4859179	0.5373667	0.4889535	0.6370329	0.63494	0.5489096	0.5941049	0.5681199	0.6344421	0.5909313
0.5000021	0.5323465	0.5064575	0.7296754	0.6247773	0.5622936	0.632578	0.5124301	0.6538668	0.6410081
0.460671	0.5579652	0.5329778	0.6404624	0.6792539	0.5505613	0.5772978	0.5149955	0.6086804	0.6700017
0.4912378	0.5362677	0.5534014	0.6430522	0.6585512	0.5663091	0.6176509	0.5320575	0.6060351	0.6770883
0.518001	0.5295917	0.6172119	0.669889	0.6489658	0.5867564	0.5809771	0.5338711	0.585228	0.6435955
0.5840489	0.5189979	0.6297988	0.6811493	0.6858524	0.549946	0.6543088	0.5703838	0.5855984	0.6485238
0.6046462	0.588596	0.6029553	0.6928845	0.7575559	0.5492846	0.6738734	0.486546	0.628723	0.6188793
0.5409908	0.5254473	0.6117083	0.6887753	0.7406608	0.5476246	0.6724563	0.5126469	0.6142283	0.530503
0.4974562	0.5122801	0.551874	0.6573575	0.6612181	0.5335148	0.7041228	0.5484766	0.616983	0.5836227
0.452546	0.5522775	0.588879	0.5784	0.6727701	0.5733137	0.726878	0.543032	0.6210597	0.5837355
0.4202381	0.5765581	0.5953201	0.6103908	0.7055771	0.4876837	0.7679428	0.4584305	0.6350638	0.6329436
0.4084755	0.5256774	0.6177207	0.6467965	0.746342	0.4980501	0.6833254	0.5242445	0.5697092	0.648091
0.4090883	0.54531	0.6212886	0.6547454	0.7419362	0.5040736	0.6339165	0.5288542	0.5975779	0.6160485
0.3942567	0.545096	0.6463896	0.65996	0.7814417	0.4760971	0.6742527	0.5221231	0.586938	0.5990226
0.3859643	0.5505957	0.601209	0.6627161	0.709324	0.4750532	0.6830208	0.5956263	0.5372694	0.5652222
0.3702636	0.5394802	0.6704782	0.661281	0.754713	0.4745014	0.7042126	0.5739596	0.5242755	0.5762791
0.3967757	0.6254574	0.6722114	0.6856367	0.6891953	0.5078931	0.68391709999999994	0.581509	0.5053637	0.5211234
0.384821	0.5628422	0.6408974	0.7161932	0.7213119	0.5227349	0.653525	0.5351681	0.4498077	0.5469763
0.3883671	0.5680597	0.5830478	0.7171999	0.682359	0.4877668	0.6037493	0.5009122	0.4669561	0.5345734
0.4054382	0.5814414	0.6214649	0.7362957	0.7103318	0.5083976	0.5617224	0.5271423	0.4089062	0.6192388
0.4109366	0.6049574	0.5627008	0.7313485	0.6825492	0.4727712	0.5718864	0.5174917	0.4505631	0.653271
0.403424	0.6233442	0.6143368	0.6882365	0.6726406	0.5049004	0.5889111	0.560761	0.454626	0.6066976
0.4069243	0.6339828	0.6352051	0.6728518	0.6109749	0.4882969	0.5235208	0.5827472	0.4177269	0.6485557
0.3622686	0.6546851	0.6273163	0.6956596	0.6166101	0.4665987	0.4704225	0.6056615	0.4691801	0.6197175
0.3646288	0.5876987	0.5908185	0.6889248	0.578549	0.4125615	0.5454835	0.6152769	0.5258285	0.5991159
0.3707387	0.6253897	0.5522071	0.687099	0.6023304	0.4714345	0.5880325	0.5893835	0.5106979	0.5869417
0.3746357	0.6191447	0.5535389	0.6344671	0.5745489	0.4841893	0.563003	0.6115007	0.4680552	0.6237287
0.3795205	0.5865407	0.5823158	0.6004727	0.5042435	0.4471845	0.5661336	0.5732505	0.4989254	0.6204912
0.4099701	0.6121901	0.5843754	0.6904197	0.5730084	0.4597916	0.6672669	0.5650632	0.5285431	0.6441274
0.371555	0.6075552	0.6815403	0.7574291	0.5794114	0.4892038	0.5483303	0.6310822	0.4833457	0.6331637
0.4330602	0.5608238	0.6233329	0.7718477	0.5460953	0.4316822	0.544123	0.6083991	0.4758608	0.6149623
0.477408	0.5727971	0.5772913	0.7699264	0.5399662	0.4289043	0.5515045	0.6272579	0.4331724	0.5788563
0.4938674	0.5785711	0.5576265	0.7815018	0.5423448	0.4666061	0.5278138	0.6015633	0.4501659	0.601828
0.4946454	0.5358447	0.5600923	0.7397363	0.56217	0.4388365	0.5517368	0.651033	0.391648	0.5894502
0.5955162	0.5531524	0.5899769	0.7624589	0.5184518	0.4437037	0.5442796	0.5791353	0.442259	0.6200797
0.5775989	0.5721577	0.5451998	0.7991832	0.5594386	0.393007	0.5167666	0.5130486	0.442862	0.5903291
0.602811	0.6241728	0.5469862	0.801721	0.5544686	0.3763158	0.5778177	0.5272196	0.4296933	0.6245938
0.5781216	0.5781745	0.5955007	0.7551936	0.5608219	0.3982617	0.5739418	0.5343742	0.456345	0.6377295
0.5519261	0.6304989	0.6506366	0.7759928	0.5364936	0.390518	0.5900075	0.5631231	0.5028835	0.626094
0.546671	0.668149	0.6535866	0.7094627	0.5472502	0.372919	0.6029139	0.5445948	0.519747	0.5049158
0.5862535	0.5998711	0.6994725	0.6914296	0.5545136	0.3984534	0.6243111	0.615043	0.46874710000000003	0.5085284
0.5708239	0.602711	0.6029261	0.725144	0.5114773	0.454225	0.6244078	0.6302074	0.5196171	0.4700695
0.5507046	0.5903332	0.6524879	0.7185848	0.4964298	0.466911	0.5550146	0.6420685	0.4995719	0.4334005
0.532257	0.5516116	0.6778194	0.7226483	0.4547607	0.428905	0.5139752	0.6284048	0.5116391	0.5111815
0.4487006	0.5613656	0.5712451	0.7087221	0.4712131	0.5170045	0.49322	0.6443482	0.528864	0.5535549
0.4429785	0.6493664	0.5790169	0.7493933	0.4512743	0.4930597	0.5199235	0.6122972	0.5194658	0.5448424
0.4091056	0.5312245	0.5575147	0.7960051	0.4816752	0.4553921	0.586199	0.6194527	0.5157109	0.5505728
0.3987533	0.4835026	0.5692489	0.817589	0.4812576	0.464874	0.5252602	0.5656701	0.5229042	0.6009341
0.4215066	0.4951452	0.5873198	0.7605316	0.4828339	0.4777747	0.5089016	0.5209525	0.5779977	0.551513
0.460491	0.5011181	0.5359072	0.7648684	0.5368214	0.4148414	0.5090046	0.496822	0.6285522	0.6109834
0.4488103	0.5587553	0.5621607	0.7805067	0.540217	0.4076752	0.5287811	0.5159587	0.6328454	0.5676936
0.4270288	0.5478448	0.5966043	0.6994376	0.5405473	0.4476875	0.4959099	0.4870924	0.5811678	0.6479946
0.4304684	0.5653709	0.5615943	0.7688593	0.6155187	0.4725092	0.5804991	0.511204	0.5724574	0.6528551
0.3843402	0.5912008	0.5130644	0.7124666	0.5816652	0.5183195	0.6401321	0.5097512	0.6051209	0.6277592
0.4061205	0.5621063	0.5008884	0.7448576	0.5701297	0.5129311	0.6288364	0.4276415	0.6146084	0.6275937
0.3842934	0.6483682	0.5498918	0.6989512	0.5538692	0.5642108	0.6302704	0.4418531	0.602746	0.6285514
0.4459799	0.5389889	0.5332309	0.7344934	0.5475449	0.478764	0.6440485	0.459187	0.5876684	0.6002318
0.4222895	0.5235785	0.5797818	0.7462877	0.5695448	0.5045838	0.6359824	0.4969647	0.6387675	0.5741903
0.4223616	0.5202885	0.5811337	0.7087014	0.5302496	0.5021445	0.5678309	0.4628341	0.6577158	0.5570528
0.4813587	0.5121456	0.559439	0.7375585	0.5452759	0.4807697	0.5807443	0.4616473	0.6361096	0.5315814
0.4264778	0.4716756	0.5762429	0.8125824	0.553001	0.4679583	0.541885	0.504497	0.5788484	0.5364196
0.3777341	0.4938681	0.5380643	0.7424284	0.568543	0.449274	0.5313566	0.4740613	0.6157635	0.5143167
0.363905	0.4902317	0.5516423	0.7481843	0.6305247	0.4216352	0.4923583	0.5060513	0.5637103	0.460372
0.396366	0.5019711	0.556217	0.6742665	0.6650228	0.4610643	0.571689	0.5230335	0.6234897	0.4621426
0.3972272	0.5411635	0.575782	0.7078514	0.5813021	0.4801624	0.5693956	0.5074787	0.624604	0.4585412
0.4939682	0.5562882	0.6175303	0.6830508	0.5478173	0.4843678	0.5772655	0.552954	0.6739888	0.4692556
0.5003575	0.5623569	0.6090332	0.6838025	0.5717547	0.4249804	0.5462844	0.5901837	0.6226894	0.4842511
0.4802121	0.5688004	0.5887465	0.6936826	0.5321083	0.421648	0.7160071	0.6124104	0.6315561	0.4431547
0.4934125	0.5048988	0.5753042	0.6922124	0.5464171	0.4264573	0.6443148	0.57943	0.6170552	0.4526506
0.5031158	0.55741	0.5059014	0.6908678	0.5379177	0.4149207	0.6502886	0.5614423	0.6129508	0.445761
0.5377858	0.5338823	0.4912674	0.6477931	0.6073401	0.3932137	0.6378117	0.6046284	0.6165212	0.4348963
0.5961609	0.508501	0.5716832	0.6524476	0.619695	0.4184143	0.6351665	0.5249756	0.6411006	0.4924803
0.5514814	0.5358566	0.592098	0.6556121	0.6050918	0.3988688	0.6460178	0.5170496	0.6562126	0.4624426
0.5546717	0.561765	0.6038701	0.6781171	0.6264449	0.3993176	0.6656599	0.5599356	0.6994876	0.469926
0.5442743	0.5482616	0.5622232	0.6362464	0.549182	0.4347641	0.648924	0.6083797	0.6789226	0.4644183
0.4855141	0.5214727	0.5647912	0.5917042	0.5123631	0.406225	0.5932978	0.6333141	0.6420936	0.4694757
0.4553146	0.5443029	0.5434421	0.5697454	0.5287225	0.4212117	0.5450975	0.602258	0.6488836	0.5262508
0.45724359999999997	0.5173888	0.5636259	0.5744825	0.5171055	0.4254808	0.516306	0.6161336	0.612768	0.534089
0.5415702	0.4698349	0.5589145	0.6379333	0.4500539	0.4186291	0.4669195	0.5555447	0.6630108	0.6559513
0.5366455	0.435873	0.5990822	0.60296400000000006	0.5002343	0.5171054	0.5011763	0.5533391	0.6622897	0.5901711
0.5446288	0.4773534	0.5806196	0.6081175	0.5553585	0.4544266	0.487104	0.5472951	0.6584781	0.5928302
0.5960589	0.4677437	0.5421809	0.6391482	0.6393661	0.3834646	0.4682758	0.525214	0.6432575	0.5699988
0.5788961	0.4494539	0.5279909	0.596485	0.586073	0.3843912	0.4231436	0.5433834	0.5937545	0.595548
0.5847278	0.465334	0.5160643	0.6434286	0.549148	0.4300442	0.4340972	0.500439	0.6206276	0.5313375
0.545785	0.4819939	0.4639477	0.5429668	0.4824715	0.4134137	0.4154245	0.4840955	0.6030137	0.5236263
0.582671	0.4874778	0.4693857	0.6451219	0.4964367	0.3880381	0.3399815	0.4639205	0.5915278	0.5096115
0.5718105	0.4612722	0.4346768	0.6969148	0.4974435	0.4045184	0.3148571	0.4918183	0.679259	0.4914747
0.5645688	0.4312627	0.4707239	0.6780138	0.4789801	0.3980736	0.3163917	0.5083753	0.6312876	0.5011069
0.5828458	0.4221633	0.4524863	0.6476318	0.4943598	0.4120532	0.3615479	0.5585879	0.6385856	0.4907762
0.6151833	0.4596203	0.5165666	0.7061665	0.5200432	0.4273901	0.3747055	0.5031944	0.6310276	0.4666854
0.588292	0.464132	0.5427707	0.7019077	0.4706276	0.4373303	0.3694809	0.5332144	0.664723	0.5439041
0.5473888	0.4985332	0.4832859	0.6512127	0.4827939	0.5220038	0.3640911	0.5062328	0.6584399	0.5006893
0.5550594	0.4648992	0.4444245	0.6459312	0.4921035	0.5146803	0.415161	0.5216587	0.5872243	0.5088721
0.5593789	0.4510835	0.476003	0.7217568	0.4574615	0.4614632	0.4150829	0.5453827	0.6097624	0.543739
0.5755669	0.479638	0.4649496	0.7011491	0.5293631	0.4415926	0.4166442	0.5400055	0.5900452	0.5275159
0.6325137	0.4376719	0.4430027	0.6814153	0.5469969	0.4426938	0.4658822	0.5001323	0.6147612	0.5287016
0.6489392	0.4504096	0.4658735	0.6017265	0.5384616	0.4438304	0.4411157	0.479861	0.5961348	0.5521849
0.5935653	0.4193609	0.4748966	0.5810819	0.5213226	0.4176146	0.4286578	0.4570322	0.5927198	0.5459639
0.6553864	0.4200269	0.497207	0.5826359	0.5391417	0.4111423	0.4010279	0.5686311	0.5511938	0.5544407
0.5663511	0.3641441	0.4556463	0.5896707	0.488421	0.4176536	0.4116073	0.6283362	0.5746085	0.5326542
0.5598784	0.391767	0.4332068	0.5304397	0.509198	0.4423285	0.3786551	0.6405712	0.5961763	0.5605008
0.6152316	0.392078	0.4283279	0.527159	0.5750442	0.4826068	0.3622938	0.6875649	0.5716145	0.550616
0.5810023	0.3434697	0.4257136	0.4782633	0.5847297	0.480564	0.3811239	0.6616545	0.5760146	0.5226883
0.6015002	0.3540931	0.4311803	0.4455881	0.6147273	0.4629834	0.3918621	0.6239663	0.6114243	0.6037836
0.6011011	0.4011616	0.4870977	0.4639578	0.5518677	0.4808771	0.4665468	0.6686023	0.5891341	0.5698546
0.6192778	0.3962223	0.5033988	0.5050293	0.5839013	0.389294	0.4366782	0.5936396	0.5717719	0.5117319
0.6878738	0.3966014	0.5325695	0.5732165	0.6117434	0.4133694	0.4702473	0.6029303	0.5785432	0.564104
0.6037831	0.4069013	0.5109084	0.5495251	0.5562587	0.4219582	0.4172026	0.581275	0.5956752	0.5519491
0.6244013	0.4704258	0.5112294	0.5678116	0.5619817	0.4004873	0.4651041	0.5930013	0.5555245	0.6479487
0.6091386	0.4193187	0.543965	0.5930791	0.5411703	0.4004805	0.4362837	0.5385448	0.4679275	0.6202883
0.5478151	0.4005052	0.4863722	0.5818357	0.557901	0.435225	0.4789649	0.570409	0.600819	0.6702762
0.602529	0.3813748	0.5413046	0.6109043	0.5283467	0.4832403	0.4325218	0.6138811	0.5801538	0.6311584
0.6062114	0.3411848	0.4996276	0.647397	0.5765616	0.5332049	0.4555762	0.580538	0.5356017	0.6329114
0.5141741	0.3486009	0.5480402	0.6172928	0.6160374	0.5077947	0.3975321	0.5737236	0.5193036	0.6013878
0.548349	0.4129012	0.5103339	0.5948764	0.6148277	0.4957706	0.3947774	0.5784131	0.5169771	0.6091565
0.5650874	0.4291675	0.510029	0.6067059	0.5786957	0.469931	0.3723081	0.5630454	0.5480749	0.5509095
0.5734765	0.4231522	0.5648391	0.6374918	0.5370963	0.5608301	0.3909221	0.5638466	0.547494	0.6139078
0.5779626	0.4625859	0.5405739	0.6579598	0.5352485	0.5423756	0.4155973	0.5360845	0.5560851	0.5939075
0.6062841	0.495565	0.5236551	0.6891256	0.5541017	0.4603443	0.455841	0.557731	0.5702765	0.6010058
0.6764722	0.4828605	0.5718053	0.6881036	0.5193636	0.3988143	0.3943874	0.5043164	0.5527064	0.5914462
0.6686601	0.465385	0.5583965	0.6297325	0.5920405	0.4753952	0.4005208	0.5124902	0.5462481	0.5984851
0.6697556	0.4338645	0.5270426	0.5864058	0.5905156	0.4723765	0.4025118	0.5010905	0.5410132	0.6310049
0.6884377	0.4286038	0.4923021	0.5277351	0.5807334	0.4764633	0.4084797	0.4766971	0.550446	0.6480129
0.6870296	0.4400567	0.5118295	0.578506	0.5832617	0.5479331	0.4657766	0.4885596	0.5816605	0.6704306
0.6463881	0.4293663	0.4571169	0.5793012	0.5255004	0.5268823	0.4479413	0.5031451	0.5306816	0.7081054
0.6193708	0.464446	0.5116564	0.5927	0.5112032	0.4366544	0.4233057	0.5470346	0.5410325	0.6544793
0.7070197	0.439412	0.5379788	0.5772223	0.5206711	0.5345729	0.4345134	0.5271962	0.5829249	0.6796877
0.6744841	0.4568511	0.535069	0.5918146	0.51335	0.5783675	0.475086	0.5424847	0.5712549	0.628651
0.6696501	0.4494133	0.5401087	0.6316167	0.5345112	0.6062738	0.4913588	0.504204	0.5846826	0.6826975
0.6351458	0.4635291	0.5507909	0.631086	0.5868299	0.5981435	0.4958026	0.5014716	0.5968679	0.6471814
0.6242816	0.5369775	0.5408754	0.6063704	0.6191905	0.592717	0.529735	0.5555725	0.6008704	0.6647489
0.5473767	0.5654983	0.5121148	0.6513633	0.6377999	0.5300218	0.5149969	0.5285642	0.6131412	0.6222704
0.5680061	0.5392274	0.499189	0.5985766	0.6779322	0.5479312	0.5464627	0.6231536	0.5941964	0.5966962
0.6184753	0.5140692	0.5078147	0.5692558	0.7085353	0.5396125	0.5396405	0.5470552	0.6066519	0.5749321
0.5681097	0.5370976	0.5605045	0.5683025	0.6512885	0.5609682	0.5563216	0.58469	0.6611888	0.588164
0.582403	0.5805361	0.4975263	0.6768526	0.569018	0.5146223	0.5328966	0.573219	0.6371327	0.5542122
0.6747407	0.5181357	0.4824458	0.7324611	0.6549108	0.5126681	0.4776748	0.5472396	0.6553993	0.564502
0.7113094	0.5120262	0.5469716	0.6540487	0.6834232	0.5363584	0.4714393	0.5397529	0.6329136	0.5486912
0.6609841	0.5072199	0.5428392	0.6179098	0.6601363	0.6026237	0.5298944	0.4998551	0.7174814	0.5787467
0.6509261	0.4907785	0.5390331	0.5875375	0.656326	0.5917456	0.5230664	0.5883459	0.6722862	0.5804217
0.6570569	0.4992267	0.5547713	0.6135586	0.6272889	0.5637512	0.5323664	0.6053929	0.6374047	0.5589002
0.6755735	0.5075885	0.6222783	0.5649759	0.6131028	0.5968768	0.5142368	0.6118081	0.6109345	0.545015
0.6614176	0.5180461	0.7028564	0.5276073	0.6117472	0.610231	0.4831678	0.5851907	0.6098438	0.5177438
0.6485337	0.552637	0.650299	0.5332061	0.5693789	0.5922088	0.5527084	0.5752358	0.5892379	0.4705478
0.7438965	0.5464457	0.6648363	0.5192407	0.6316134	0.5313385	0.555369	0.61322	0.5986672	0.5015134
