value...1	value...2	value...3	value...4	value...5	value...6	value...7	value...8	value...9	value...10
0.1463677	0.128523	0.1154875	0.123338	0.1156286	0.1149128	0.1342911	0.1312924	0.1232279	0.1241057
0.1239106	0.1569043	0.1413056	0.1501964	0.09874193	0.1139688	0.1632809	0.1592798	0.1480107	0.1341161
0.1057586	0.1789678	0.1518212	0.1710646	0.1163864	0.1065347	0.2096456	0.1799499	0.1723245	0.1644994
0.1037192	0.1706907	0.1648173	0.157632	0.1055993	0.09522405	0.224242	0.1817691	0.1478287	0.1852121
0.1131994	0.1629388	0.1436294	0.1599024	0.1416684	0.09630074	0.2321892	0.188997	0.1488317	0.1947263
0.1062826	0.147857	0.1403599	0.138864	0.1383957	0.08361284	0.2191316	0.1999601	0.1528197	0.227003
0.1178394	0.1408848	0.1291314	0.1366402	0.1209303	0.07445841	0.2089462	0.195389	0.1403788	0.1791619
0.1163178	0.1466375	0.1209704	0.1471844	0.1477483	0.07602036	0.209678	0.1737064	0.1619002	0.1693676
0.1123139	0.1374299	0.1261096	0.1402467	0.1360396	0.09251023	0.2265027	0.192556	0.1471706	0.1810525
0.1055154	0.116946	0.1340136	0.1474534	0.1291694	0.08488516	0.1958042	0.2223926	0.1377466	0.1687957
0.09528924	0.1122689	0.1239506	0.1502992	0.1401636	0.09592037	0.199236	0.2062347	0.1179681	0.1470829
0.1044477	0.1038677	0.1487383	0.1796774	0.1356937	0.09684188	0.2079302	0.2163324	0.08555866	0.1348775
0.1024126	0.1116742	0.1604636	0.2109221	0.1363668	0.09917716	0.2064425	0.2596668	0.07603144	0.169483
0.1230836	0.1264598	0.1419187	0.2542896	0.1034507	0.0988033	0.1967544	0.2303494	0.08113792	0.2059956
0.1271294	0.1207432	0.1587654	0.2456721	0.101988	0.1084974	0.2026541	0.2227841	0.08156607	0.2109471
0.1351568	0.1129468	0.1385387	0.2431845	0.1162449	0.1111369	0.1494472	0.2165591	0.08829335	0.2035966
0.1386022	0.1324886	0.10647	0.2214645	0.1036747	0.1020817	0.1605825	0.1890609	0.09031521	0.1832687
0.1536172	0.1257098	0.1188073	0.2260314	0.09484477	0.09263819	0.1663162	0.2081211	0.1008631	0.1846096
0.1447669	0.1204956	0.1030263	0.2080414	0.1036767	0.08799345	0.1574833	0.2242626	0.1181807	0.1699749
0.1593777	0.1189363	0.1046748	0.184169	0.108423	0.09503694	0.179327	0.2067865	0.1111346	0.1946764
0.1725899	0.1141097	0.1155904	0.2139961	0.104325	0.08069493	0.1680408	0.2038517	0.1159186	0.1838085
0.1594231	0.1306831	0.1194429	0.2390034	0.1117661	0.0887492	0.1585792	0.1778412	0.0975513	0.190213
0.1398004	0.1086803	0.1233965	0.2309581	0.1090822	0.09304225	0.1468126	0.19116	0.08783042	0.1748757
0.1419567	0.1048227	0.1180939	0.2214239	0.1084819	0.1039033	0.1381761	0.2041716	0.08521208	0.1882408
0.1370442	0.09859819	0.1115757	0.2482047	0.1338587	0.1136045	0.1389598	0.18766650000000001	0.08845132	0.1943635
0.1544801	0.08362625	0.1113517	0.2862273	0.1078745	0.1414353	0.1482414	0.201476	0.09232407	0.1702994
0.1753927	0.09433385	0.1042565	0.221267	0.1164421	0.1196017	0.1482308	0.1889881	0.08649028	0.1758914
0.2285171	0.09658509	0.1104298	0.1871912	0.1177702	0.1316226	0.1482254	0.1816258	0.08278047	0.1603088
0.2292813	0.1076252	0.1300656	0.179972	0.1217346	0.1289193	0.1608392	0.1663743	0.09607596	0.161691
0.2008427	0.1200269	0.1513485	0.2335051	0.1482727	0.09899755	0.1617511	0.1717198	0.09662741	0.1331094
0.2445457	0.1383949	0.1436566	0.2128343	0.140403	0.09234845	0.13731959999999999	0.1553107	0.1053006	0.1399172
0.226208	0.1498013	0.1505246	0.2420601	0.1384535	0.1103821	0.1316502	0.150801	0.1359463	0.1502005
0.2579092	0.170987	0.1744004	0.2612521	0.141621	0.1221474	0.1445199	0.1581909	0.139194	0.1196539
0.2816058	0.1745327	0.1897391	0.2151643	0.1202004	0.1195013	0.1480092	0.1340611	0.1148045	0.1304393
0.2461593	0.1803304	0.1411353	0.2203002	0.1335767	0.1354461	0.150035	0.1337388	0.1096132	0.1452328
0.2353403	0.170844	0.1449735	0.2350822	0.1237934	0.1556582	0.1638898	0.1661397	0.1120685	0.1406527
0.2311538	0.164561	0.1484831	0.2515724	0.1035048	0.1874017	0.147937	0.1713168	0.09762266	0.1246692
0.226166	0.1501941	0.141364	0.2489964	0.1254118	0.1788503	0.1442812	0.1676182	0.08558096	0.1159948
0.2128272	0.1442684	0.1462915	0.2582832	0.1135855	0.1495359	0.1479789	0.1562707	0.07780041	0.1017683
0.2051306	0.1385168	0.1556832	0.2302602	0.1399662	0.1820246	0.1471009	0.1422604	0.06549488	0.107265
0.2128029	0.136298	0.1378685	0.206736	0.1360696	0.1721119	0.1775035	0.1656645	0.06218681	0.1087756
0.2529637	0.129624	0.1607341	0.2118644	0.132158	0.1827791	0.1522057	0.1333186	0.05940441	0.1050723
0.1892239	0.1432808	0.1458577	0.2078274	0.1332965	0.1480519	0.1514995	0.116237	0.06915551	0.09984886
0.2134265	0.1415788	0.1316148	0.2220494	0.1405165	0.1377498	0.1637591	0.1371089	0.0861928	0.1293167
0.1785282	0.1502731	0.1466107	0.2640622	0.1693328	0.1506465	0.1786581	0.1185316	0.09104584	0.1344744
0.196504	0.1509574	0.1394358	0.227428	0.1530511	0.1557897	0.1616509	0.1444145	0.07716329	0.1342981
0.2172974	0.1409249	0.1622191	0.2217322	0.1705417	0.1521589	0.1522972	0.1428861	0.07443756	0.1293247
0.2009157	0.1289874	0.1461581	0.2624446	0.1606556	0.1388985	0.1491611	0.1710086	0.07515079	0.1629099
0.2339361	0.1205723	0.1292307	0.2678312	0.1656304	0.131802	0.1372886	0.1506729	0.07788961	0.1443396
0.2276693	0.1186439	0.1282736	0.2649232	0.1735091	0.1513836	0.1306495	0.1511732	0.08012474	0.1661629
0.2459193	0.1078797	0.134743	0.2140615	0.188122	0.155442	0.1256231	0.1500342	0.07555922	0.1929221
0.2369531	0.1078717	0.1550544	0.2223994	0.1913036	0.1519116	0.1164976	0.1634658	0.06259496	0.1871969
0.22155	0.1275745	0.1462381	0.2215998	0.160961	0.1494804	0.1226442	0.1647944	0.0612898	0.1772738
0.1983861	0.1459943	0.1396232	0.2136318	0.1659834	0.1967883	0.1225491	0.181254	0.06419199	0.1762128
0.2198753	0.1626079	0.1417739	0.2250798	0.1640002	0.1932825	0.1073787	0.1667969	0.05477265	0.1779863
0.2022728	0.1876777	0.1372297	0.2315775	0.1367444	0.1831834	0.08568531	0.1660754	0.05175315	0.1600732
0.1724203	0.1758343	0.1232688	0.2198436	0.1439132	0.1680766	0.07576233	0.1687932	0.05153857	0.1439843
0.1502029	0.1760345	0.1202254	0.21181	0.165988	0.1885931	0.06758889	0.1734805	0.04548144	0.1456642
0.1344476	0.1600928	0.1132338	0.2132765	0.1761235	0.1563239	0.07538792	0.1616949	0.05127709	0.1333599
0.1406809	0.1849661	0.1421914	0.1902886	0.1789836	0.140451	0.07212173	0.1271217	0.05948073	0.1583394
0.1444031	0.1768706	0.1331696	0.1738417	0.1705997	0.1450107	0.07202002	0.1454197	0.05783839	0.1560027
0.1512723	0.1549435	0.1300901	0.192341	0.1608161	0.130128	0.08165719	0.1379404	0.06361936	0.1557431
0.1624746	0.1421367	0.1231844	0.1695637	0.1642507	0.1184898	0.08667595	0.1363979	0.06973771	0.1540671
0.1728634	0.1426491	0.1275116	0.1741153	0.1713385	0.09802761	0.07676493	0.1473114	0.07136186	0.127678
0.1488308	0.1436051	0.1247118	0.1934389	0.1684923	0.0962298	0.07721779	0.1639263	0.07858262	0.1473895
