value...1	value...2	value...3	value...4	value...5	value...6	value...7	value...8	value...9	value...10
0.2254821	0.2437476	0.2677468	0.1854742	0.3128498	0.2066218	0.2122376	0.2310359	0.2206443	0.1979614
0.1664887	0.2806525	0.2523375	0.1694279	0.2682619	0.2174832	0.1922786	0.2224589	0.1781737	0.1413147
0.1759101	0.2255175	0.1884057	0.153897	0.1964736	0.1974339	0.1444635	0.1869418	0.221258	0.1504921
0.172774	0.2157779	0.2185495	0.15885	0.175807	0.1514352	0.1652314	0.1783568	0.2304452	0.1517654
0.152303	0.2366513	0.2350658	0.1300995	0.184677	0.1480491	0.1413243	0.1556993	0.2394047	0.1773309
0.1534461	0.2095828	0.2156081	0.1488208	0.1936396	0.1618965	0.1465483	0.1637756	0.2135321	0.1666357
0.1532195	0.1856779	0.2623582	0.1332602	0.1849427	0.1659577	0.1602491	0.1440965	0.2157586	0.1942579
0.1297771	0.1875014	0.2449865	0.1410752	0.160216	0.1836359	0.1421014	0.09578442	0.2781315	0.1680777
0.132925	0.2346479	0.2401753	0.1325076	0.1759703	0.1633493	0.1172479	0.1020069	0.2010404	0.168544
0.1309719	0.2452823	0.2290698	0.1380042	0.2109228	0.1438838	0.1564229	0.1137346	0.2848901	0.2037406
0.1511231	0.2616841	0.22145	0.1070944	0.1946034	0.1552681	0.1777155	0.1255602	0.2834289	0.1864947
0.1556014	0.2270009	0.1923106	0.1210888	0.2277282	0.1318979	0.1463208	0.111898	0.2295036	0.1972513
0.1552836	0.2336887	0.181691	0.1422195	0.2020345	0.1357793	0.1531269	0.08706211	0.2238737	0.2052512
0.1564151	0.2404903	0.2285805	0.1311224	0.2153311	0.1273172	0.1263853	0.1165379	0.1824727	0.2297666
0.1505921	0.2494592	0.1632511	0.178495	0.2002849	0.1231939	0.127167	0.1587678	0.1818814	0.2528305
0.122782	0.2498317	0.1532003	0.1599573	0.2052133	0.1268909	0.1489294	0.1776426	0.1932717	0.2022039
0.1748604	0.2955455	0.120921	0.1540828	0.1792374	0.141566	0.123215	0.1727213	0.1755084	0.1954004
0.1821401	0.2430253	0.1244137	0.1278052	0.1633353	0.1613126	0.1425522	0.1346161	0.1982644	0.2198817
0.1688371	0.2461661	0.1444585	0.1297253	0.1496389	0.2058802	0.1420462	0.1500597	0.2561453	0.1843988
0.1467864	0.2691161	0.1843611	0.1620712	0.1700121	0.1898265	0.1648851	0.1725043	0.1833399	0.1718376
