varU	varE	Ind_gen	Densidad	h2	Pedigrí	Enfoque
0.45131374156	0.161562350816	148	10.000	0.74	Pedigrí 1.6	Bayesiano
0.43399717168	0.142123267556	298	10.000	0.75	Pedigrí 1.6	Bayesiano
0.40246322079	0.145713146317	451	10.000	0.73	Pedigrí 1.6	Bayesiano
0.44662215175	0.170050583326	0	100.000	0.72	Pedigrí 1.6	Bayesiano
0.4517058437	0.161032756408	148	100.000	0.74	Pedigrí 1.6	Bayesiano
0.43447987109	0.140964471843	298	100.000	0.76	Pedigrí 1.6	Bayesiano
0.40104879334	0.137966325603	451	100.000	0.74	Pedigrí 1.6	Bayesiano
0.43782152732	0.137796055471	0	1.000	0.76	Pedigrí 1.7	Bayesiano
0.45695996864	0.13189207478	148	1.000	0.78	Pedigrí 1.7	Bayesiano
0.45394589564	0.139004804135	298	1.000	0.77	Pedigrí 1.7	Bayesiano
0.35369488568	0.22735303847	451	1.000	0.61	Pedigrí 1.7	Bayesiano
0.43916296028	0.137863827902	0	10.000	0.76	Pedigrí 1.7	Bayesiano
0.44232195078	0.137006161929	148	10.000	0.76	Pedigrí 1.7	Bayesiano
0.42513305314	0.130671324268	298	10.000	0.76	Pedigrí 1.7	Bayesiano
0.40120005259	0.145687271054	451	10.000	0.73	Pedigrí 1.7	Bayesiano
0.44044765227	0.136723331972	0	100.000	0.76	Pedigrí 1.7	Bayesiano
0.44332448134	0.134570630659	148	100.000	0.77	Pedigrí 1.7	Bayesiano
0.42463566996	0.132153110802	298	100.000	0.76	Pedigrí 1.7	Bayesiano
0.40180249618	0.138451842164	451	100.000	0.74	Pedigrí 1.7	Bayesiano
0.42579670371	0.151902959418	0	1.000	0.74	Pedigrí 1.8	Bayesiano
0.44982834555	0.141329964442	148	1.000	0.76	Pedigrí 1.8	Bayesiano
0.44997147354	0.147463167789	298	1.000	0.75	Pedigrí 1.8	Bayesiano
0.35300534867	0.22753485068	451	1.000	0.61	Pedigrí 1.8	Bayesiano
0.42567423263	0.151989602455	0	10.000	0.74	Pedigrí 1.8	Bayesiano
0.43201798248	0.147517051826	148	10.000	0.75	Pedigrí 1.8	Bayesiano
0.42290409884	0.139513528304	298	10.000	0.75	Pedigrí 1.8	Bayesiano
0.40427167248	0.144980261211	451	10.000	0.74	Pedigrí 1.8	Bayesiano
0.42623051461	0.151769393305	0	100.000	0.74	Pedigrí 1.8	Bayesiano
0.43187836277	0.147135408983	148	100.000	0.75	Pedigrí 1.8	Bayesiano
0.42011843421	0.141337424814	298	100.000	0.75	Pedigrí 1.8	Bayesiano
0.40228652207	0.138280745367	451	100.000	0.74	Pedigrí 1.8	Bayesiano
0.39299675365	0.211587666747	0	1.000	0.65	Pedigrí 1.9	Bayesiano
0.42486407002	0.193970651537	148	1.000	0.69	Pedigrí 1.9	Bayesiano
0.43881718968	0.176377262666	298	1.000	0.71	Pedigrí 1.9	Bayesiano
0.35213931299	0.22751544229	451	1.000	0.61	Pedigrí 1.9	Bayesiano
0.3891698994	0.212760174963	0	10.000	0.65	Pedigrí 1.9	Bayesiano
0.40469182125	0.202308463722	148	10.000	0.67	Pedigrí 1.9	Bayesiano
0.40307444453	0.174166455262	298	10.000	0.7	Pedigrí 1.9	Bayesiano
