value...1	value...2	value...3	value...4	value...5	value...6	value...7	value...8	value...9	value...10
0.7919684323401526	0.7840666752480393	0.7640431899490555	0.7973942803549813	0.8208406151482555	0.7907722757886368	0.7976717985284395	0.8002698202057813	0.8076068756203069	0.7934162439238344
0.7954240007635025	0.794751747113093	0.7639547787016024	0.7956791749541019	0.8363220523353121	0.8294803566350353	0.7935491758927828	0.8254807134959059	0.7914948906484299	0.7571756914501147
0.7854283915194469	0.7741528936341405	0.7880598029171413	0.8217507803856758	0.8492805473052994	0.8295222667517174	0.8159987382623954	0.8379312393490745	0.7890208774479469	0.7859679685746966
0.7920389862979772	0.7717306823631397	0.8053691214598078	0.8188859036584948	0.8489613045434057	0.806324754804242	0.8231816665526004	0.8313181852428462	0.7905138778688338	0.7890870560783607
0.8275300953659113	0.8015738746070256	0.7917709090939387	0.8017319277235404	0.8460230259228287	0.8143469017887024	0.8438947477382435	0.832652609332227	0.8084499521775884	0.7967974415050358
0.816234433953145	0.776788370369101	0.8332326458520123	0.8252119583758569	0.8435160157183026	0.81446676366959	0.8530891554338622	0.8181652693547166	0.7812601309445203	0.8086475178725597
0.8276521672296463	0.7794280448577118	0.8221627341424884	0.8397479165165067	0.8407433939033584	0.8210467162542712	0.8515119835938044	0.8161597925506561	0.7916973833641016	0.8273384365182981
0.7903436501247048	0.7642701992907782	0.8100561831204652	0.8274207882361889	0.8378707085717355	0.8077198277460432	0.8337512380329383	0.8204384798486637	0.7994935976482828	0.826971001738861
0.7352341774981858	0.7668629883433914	0.8099881422040585	0.8250511254548643	0.8607381434631668	0.8058966076411687	0.8355859626876009	0.7869330391572393	0.8216870566471146	0.8183881884140196
0.7072499449074326	0.7696601154701321	0.8129827193229944	0.8517534558275669	0.8647694576761363	0.8080689960119998	0.8403063730796838	0.7840029614614099	0.8296200710282255	0.8409505055869659
0.709349521692099	0.7796281027646594	0.7967786548608364	0.8565440755892706	0.8662476824149961	0.7969304558583163	0.8311907601338401	0.8004061767608565	0.8260193677230915	0.8288443598578935
0.7067463175844529	0.7911508522891509	0.8165034597501757	0.881299784789893	0.879430312271601	0.7822594938557915	0.8663974787750915	0.7557962732464868	0.8413591412991533	0.8298658068278062
0.7058816498903876	0.7987712471371999	0.8265741154590687	0.8815313973326914	0.8840616284705646	0.7953770982326537	0.8706112216257214	0.7379981817858737	0.8457155147595795	0.8446783006729421
0.702330149834153	0.7900205685838968	0.8305317340660323	0.8765532373445052	0.8905349846548478	0.81109728828882	0.8942531581033081	0.7467557530470518	0.8256846348035345	0.847786457795319
0.7281215021595508	0.7887577912648472	0.8551554961939941	0.8979173096663519	0.8863350350633633	0.8144034086453374	0.8989256301272209	0.7432044411479406	0.8037893310174906	0.8376215753877052
0.7571677297241236	0.8229409268730782	0.8570343425392352	0.8935604965018936	0.8885717902213526	0.8221541777157596	0.91273525738258	0.7722458546455008	0.8176879112973752	0.8364376261623444
0.7707779928720594	0.8381972172118973	0.845723540671588	0.8997121570867902	0.9018267745623475	0.8199802530440736	0.9092318333834022	0.7169809541296409	0.836672849329076	0.8188541215977518
0.7315312927635316	0.8108724597316306	0.8379367173901221	0.9034924844057678	0.8817170781685166	0.8301637892940059	0.9132669616952845	0.7460523673280496	0.8507644754188596	0.7994435723367264
0.7033367110606643	0.8114192008596341	0.8221995701536583	0.9053417750503875	0.8568458646202451	0.8386975474868853	0.9090568840870711	0.7730467615287895	0.8588800341222812	0.8313118020176048
0.6642430497883591	0.830489858603454	0.8540943383665636	0.886044260606941	0.8814763004865618	0.8514232819570892	0.9016496917818997	0.7787117625582458	0.8634551982958785	0.8449801144279867
0.618674290304183	0.819365401849348	0.8603031479919291	0.8827894379940916	0.9031091642776887	0.8142369166353477	0.9260531180945193	0.7591552938947707	0.8794533866944039	0.8485902359720092
