Densidad	Genotipados	Desvio	Media	Pedigrí
0	Ninguno	0.042	0.558	Pedigrí_3
1.000	F0-F1-F2-F3	0.041	0.586	Pedigrí_3
1.000	F1-F2	0.051	0.578	Pedigrí_3
1.000	F2	0.05	0.576	Pedigrí_3
10.000	F0-F1-F2-F3	0.035	0.626	Pedigrí_3
10.000	F1-F2	0.048	0.583	Pedigrí_3
10.000	F2	0.049	0.579	Pedigrí_3
100.000	F0-F1-F2-F3	0.031	0.632	Pedigrí_3
100.000	F1-F2	0.048	0.583	Pedigrí_3
100.000	F2	0.049	0.581	Pedigrí_3
0	Ninguno	0.091	0.56	Pedigrí_2
1.000	F0-F1-F2-F3	0.096	0.574	Pedigrí_2
1.000	F1-F2	0.091	0.573	Pedigrí_2
1.000	F2	0.091	0.574	Pedigrí_2
10.000	F0-F1-F2-F3	0.079	0.623	Pedigrí_2
10.000	F1-F2	0.092	0.577	Pedigrí_2
10.000	F2	0.092	0.576	Pedigrí_2
100.000	F0-F1-F2-F3	0.081	0.627	Pedigrí_2
100.000	F1-F2	0.092	0.576	Pedigrí_2
100.000	F2	0.092	0.576	Pedigrí_2
0	Ninguno	0.086	0.562	Pedigrí_1
1.000	F0-F1-F2-F3	0.076	0.565	Pedigrí_1
1.000	F1-F2	0.091	0.566	Pedigrí_1
1.000	F2	0.091	0.565	Pedigrí_1
10.000	F0-F1-F2-F3	0.064	0.61	Pedigrí_1
10.000	F1-F2	0.089	0.568	Pedigrí_1
10.000	F2	0.09	0.567	Pedigrí_1
100.000	F0-F1-F2-F3	0.065	0.618	Pedigrí_1
100.000	F1-F2	0.088	0.569	Pedigrí_1
100.000	F2	0.09	0.568	Pedigrí_1
0	Ninguno	0.044	0.538	Pedigrí_4
1.000	F0-F1-F2-F3	0.053	0.569	Pedigrí_4
1.000	F1-F2	0.053	0.563	Pedigrí_4
1.000	F2	0.054	0.561	Pedigrí_4
10.000	F0-F1-F2-F3	0.038	0.609	Pedigrí_4
10.000	F1-F2	0.049	0.57	Pedigrí_4
10.000	F2	0.05	0.568	Pedigrí_4
100.000	F0-F1-F2-F3	0.038	0.615	Pedigrí_4
100.000	F1-F2	0.05	0.571	Pedigrí_4
100.000	F2	0.051	0.569	Pedigrí_4
